entity_id,geography_entity_id,period,period_dt,period_month,region_name,region_type,state_name,source_dataset,target_next_rent_growth_1m,rent_growth_1m_lag1,rent_growth_1m_lag3,rent_growth_1m_lag12,rent_index_lag1,unemployment_rate
apt_market:zip:60518:2016-02-29,geo:zori:zip:07002,2016-02-29,2016-02-29,2016-02,07002,zip,NJ,zip_zori_head.csv,0.0073333919121996,-0.0042611121078922,0.0267438499122985,-0.0181508086835719,1382.61349652416,5.1
apt_market:zip:60518:2016-03-31,geo:zori:zip:07002,2016-03-31,2016-03-31,2016-03,07002,zip,NJ,zip_zori_head.csv,0.0197863688389297,0.0055599404361197,-0.0070296762305809,0.0112028342892296,1390.3007452110096,5.0
apt_market:zip:60518:2016-04-30,geo:zori:zip:07002,2016-04-30,2016-04-30,2016-04,07002,zip,NJ,zip_zori_head.csv,0.0091264190795656,0.0073333919121996,-0.0042611121078922,0.0223359937775495,1400.4963654514652,5.0
apt_market:zip:60518:2016-05-31,geo:zori:zip:07002,2016-05-31,2016-05-31,2016-05,07002,zip,NJ,zip_zori_head.csv,0.0112125789707528,0.0197863688389297,0.0055599404361197,0.0265495169153389,1428.2071030958682,5.1
apt_market:zip:60518:2016-06-30,geo:zori:zip:07002,2016-06-30,2016-06-30,2016-06,07002,zip,NJ,zip_zori_head.csv,-0.0086939998777981,0.0091264190795656,0.0073333919121996,0.0005669738485654,1441.2415196511336,5.1
apt_market:zip:60518:2016-07-31,geo:zori:zip:07002,2016-07-31,2016-07-31,2016-07,07002,zip,NJ,zip_zori_head.csv,-0.0086719298120249,0.0112125789707528,0.0197863688389297,0.0095643614274376,1457.4015540061498,5.0
apt_market:zip:60518:2016-08-31,geo:zori:zip:07002,2016-08-31,2016-08-31,2016-08,07002,zip,NJ,zip_zori_head.csv,0.0180787933071853,-0.0086939998777981,0.0091264190795656,-0.0172362783726209,1444.7309050737174,5.0
apt_market:zip:60518:2016-09-30,geo:zori:zip:07002,2016-09-30,2016-09-30,2016-09,07002,zip,NJ,zip_zori_head.csv,0.0206874905189564,-0.0086719298120249,0.0112125789707528,0.0085127136246694,1432.202300067655,5.0
apt_market:zip:60518:2016-10-31,geo:zori:zip:07002,2016-10-31,2016-10-31,2016-10,07002,zip,NJ,zip_zori_head.csv,0.0088677372267871,0.0180787933071853,-0.0086939998777981,-0.004503870893152,1458.0947894246535,5.0
apt_market:zip:60518:2016-11-30,geo:zori:zip:07002,2016-11-30,2016-11-30,2016-11,07002,zip,NJ,zip_zori_head.csv,-0.010787492308809,0.0206874905189564,-0.0086719298120249,0.0267438499122985,1488.2591115566158,4.9
apt_market:zip:60518:2016-12-31,geo:zori:zip:07002,2016-12-31,2016-12-31,2016-12,07002,zip,NJ,zip_zori_head.csv,-0.0174624630548722,0.0088677372267871,0.0180787933071853,-0.0070296762305809,1501.4566022832716,4.9
apt_market:zip:60518:2017-01-31,geo:zori:zip:07002,2017-01-31,2017-01-31,2017-01,07002,zip,NJ,zip_zori_head.csv,0.0035649767874526,-0.010787492308809,0.0206874905189564,-0.0042611121078922,1485.2596507341302,4.8
apt_market:zip:60518:2017-02-28,geo:zori:zip:07002,2017-02-28,2017-02-28,2017-02,07002,zip,NJ,zip_zori_head.csv,0.0090698711122392,-0.0174624630548722,0.0088677372267871,0.0055599404361197,1459.323358956293,4.8
