source_name,sample_file,suffix,size_bytes
acs_5y,philly_zcta_sample.json,.json,127
acs_5y,variables_head.json,.json,10457748
bls_labor_cpi,cu_area_head.txt,.txt,2185
bls_labor_cpi,eag_philly_county_head.html,.html,68121
bls_labor_cpi,la_area_head.txt,.txt,438285
fred,philly_unemployment_head.csv,.csv,6508
hud_fmr,fmr_county_head.bin,.bin,250000
hud_fmr,fmr_county_head.csv,.csv,250000
hud_fmr,fmr_portal_head.html,.html,250000
lehd_lodes,lodes_directory_head.html,.html,35737
lehd_lodes,pa_directory_head.html,.html,26105
lehd_lodes,pa_lodes_head.csv.gz,.gz,250000
lehd_lodes,pa_od_directory_head.html,.html,80357
lehd_lodes,pa_rac_directory_head.html,.html,305630
lehd_lodes,pa_wac_directory_head.html,.html,299822
ntad_amtrak,amtrak_sample.geojson,.geojson,3789
opendataphilly_crime_incidents,dataset_page.html,.html,55033
opendataphilly_crime_incidents,resource_head.bin,.bin,250000
opendataphilly_li_property_history,dataset_metadata.md,.md,661
opendataphilly_li_property_history,dataset_page.html,.html,10612
opendataphilly_li_property_history,li_appeals_head.csv,.csv,871
opendataphilly_li_property_history,li_permits_head.csv,.csv,733
opendataphilly_li_property_history,li_violations_head.csv,.csv,729
opendataphilly_li_property_history,resource_head.bin,.bin,8345
opendataphilly_rental_suitability,dataset_page.html,.html,14321
opendataphilly_rental_suitability,resource_head.bin,.bin,250000
phl_property_bulk,property_asset_head.bin,.bin,123826
phl_property_bulk,property_download_page.html,.html,7105
septa_gtfs,gtfs_nested.zip,.zip,20989504
septa_gtfs,gtfs_public.zip,.zip,21607367
septa_gtfs_rt,gtfs_rt_legacy_realtime_sample.json,.json,131069
septa_gtfs_rt,gtfs_rt_metadata_sample.html,.html,17557
zillow,city_zori_head.csv,.csv,900000
zillow,metro_zori_head.csv,.csv,450000
zillow,research_portal_head.html,.html,200000
zillow,zip_zori_head.csv,.csv,1400000
zillow,zori_methodology_head.html,.html,200000
