geography_type,horizon_months,sample_count,mean_series_autocorr,median_series_autocorr,naive_mae
zori_city,1,46018,0.4588379069469257,0.5035559202731439,0.006086719192559869
zori_city,3,45282,-0.07276374353618739,-0.07990124710153017,0.0088038151711833
zori_city,6,44180,-0.06873412099429689,-0.05409390364555902,0.008883705799533213
zori_city,12,41978,0.2507236108990141,0.25428972960731694,0.007144185987360024
zori_country,1,131,0.8985814663537103,0.8985814663537103,0.001672448744064958
zori_country,3,129,0.38304511832453486,0.38304511832453486,0.004345822953754783
zori_country,6,126,-0.18263470002917156,-0.18263470002917156,0.0058733493751581415
zori_country,12,120,0.42563135460992896,0.42563135460992896,0.0028023940537471267
zori_msa,1,23359,0.5443366566686207,0.5698810705747404,0.004609119789446373
zori_msa,3,22995,0.005143587969168026,-0.019734923428158028,0.006984826478573693
zori_msa,6,22449,-0.10267674745422015,-0.08305515155187895,0.0074815646926423285
zori_msa,12,21357,0.3401799032142528,0.3479089366053573,0.005443608483084017
zori_zip,1,68306,0.2880125717351392,0.30109777850744,0.009516545678722257
zori_zip,3,66816,-0.2482465711147502,-0.26503811096020835,0.012846207298631692
zori_zip,6,64603,-0.06707613297443885,-0.057279136821381645,0.012138110772231028
zori_zip,12,60216,0.14888359461968473,0.16236043699240296,0.010428532047736713
