geography_entity_id,geography_type,geography_name,row_count,unique_period_count,min_period,max_period,target_std,expected_months,duplicate_period_rows,coverage_ratio,missing_internal_months
geo:zori:city:10071,zori_city,Alexandria (VA),132,132,2015-02-28,2026-01-31,0.005914478647099289,132,0,1.0,0
geo:zori:city:10210,zori_city,Augusta (GA),132,132,2015-02-28,2026-01-31,0.0067553457348883935,132,0,1.0,0
geo:zori:city:10215,zori_city,Aurora (IL),132,132,2015-02-28,2026-01-31,0.005477662885097633,132,0,1.0,0
geo:zori:city:10221,zori_city,Austin (TX),132,132,2015-02-28,2026-01-31,0.008400545453414591,132,0,1.0,0
geo:zori:city:10417,zori_city,Birmingham (AL),132,132,2015-02-28,2026-01-31,0.005523481784523616,132,0,1.0,0
geo:zori:city:10477,zori_city,Boca Raton (FL),132,132,2015-02-28,2026-01-31,0.008551638250435653,132,0,1.0,0
geo:zori:city:10843,zori_city,Clarksville (TN),132,132,2015-02-28,2026-01-31,0.005853080467288698,132,0,1.0,0
geo:zori:city:10918,zori_city,Columbia (MO),132,132,2015-02-28,2026-01-31,0.008129647844794452,132,0,1.0,0
geo:zori:city:10920,zori_city,Columbus (OH),132,132,2015-02-28,2026-01-31,0.005660126536409302,132,0,1.0,0
geo:zori:city:11093,zori_city,Denver (CO),132,132,2015-02-28,2026-01-31,0.0073629419017097785,132,0,1.0,0
geo:zori:city:11337,zori_city,Escondido (CA),132,132,2015-02-28,2026-01-31,0.009129130344866109,132,0,1.0,0
geo:zori:city:11529,zori_city,Fredericksburg (VA),132,132,2015-02-28,2026-01-31,0.007499847733276912,132,0,1.0,0
geo:zori:city:11540,zori_city,Fremont (CA),132,132,2015-02-28,2026-01-31,0.007331342627175142,132,0,1.0,0
geo:zori:city:11671,zori_city,Grand Rapids (MI),132,132,2015-02-28,2026-01-31,0.008003427502543658,132,0,1.0,0
geo:zori:city:11722,zori_city,Greensboro (NC),132,132,2015-02-28,2026-01-31,0.005504239949057132,132,0,1.0,0
geo:zori:city:11817,zori_city,Harrisburg (PA),132,132,2015-02-28,2026-01-31,0.007538104992222598,132,0,1.0,0
geo:zori:city:11865,zori_city,Hemet (CA),132,132,2015-02-28,2026-01-31,0.008494472764481923,132,0,1.0,0
geo:zori:city:11867,zori_city,Henderson (NV),132,132,2015-02-28,2026-01-31,0.007711213318870613,132,0,1.0,0
geo:zori:city:11914,zori_city,Hillsboro (OR),132,132,2015-02-28,2026-01-31,0.010349129730231716,132,0,1.0,0
geo:zori:city:12014,zori_city,Huntsville (AL),132,132,2015-02-28,2026-01-31,0.007008494611020415,132,0,1.0,0
geo:zori:city:12065,zori_city,Irving (TX),132,132,2015-02-28,2026-01-31,0.008103957125464968,132,0,1.0,0
geo:zori:city:12317,zori_city,Largo (FL),132,132,2015-02-28,2026-01-31,0.010627771124271646,132,0,1.0,0
geo:zori:city:12447,zori_city,Los Angeles (CA),132,132,2015-02-28,2026-01-31,0.00474570281158365,132,0,1.0,0
geo:zori:city:12455,zori_city,Louisville (KY),132,132,2015-02-28,2026-01-31,0.004468864101640025,132,0,1.0,0
geo:zori:city:12562,zori_city,Marietta (GA),132,132,2015-02-28,2026-01-31,0.007510280234580146,132,0,1.0,0
geo:zori:city:12694,zori_city,Mesquite (TX),132,132,2015-02-28,2026-01-31,0.006523447527662091,132,0,1.0,0
geo:zori:city:12970,zori_city,Newark (NJ),132,132,2015-02-28,2026-01-31,0.007690220050469232,132,0,1.0,0
geo:zori:city:13072,zori_city,Oakland (CA),132,132,2015-02-28,2026-01-31,0.007904172798782425,132,0,1.0,0
geo:zori:city:13108,zori_city,Ontario (CA),132,132,2015-02-28,2026-01-31,0.008513578812319235,132,0,1.0,0
geo:zori:city:13121,zori_city,Orlando (FL),132,132,2015-02-28,2026-01-31,0.006876862838911057,132,0,1.0,0
geo:zori:city:13150,zori_city,Oxnard (CA),132,132,2015-02-28,2026-01-31,0.00968147663077105,132,0,1.0,0
geo:zori:city:13234,zori_city,Pearland (TX),132,132,2015-02-28,2026-01-31,0.007010537416970769,132,0,1.0,0
geo:zori:city:13271,zori_city,Philadelphia (PA),132,132,2015-02-28,2026-01-31,0.004205443655562386,132,0,1.0,0
geo:zori:city:13373,zori_city,Portland (OR),132,132,2015-02-28,2026-01-31,0.006258536009406646,132,0,1.0,0
geo:zori:city:13478,zori_city,Reno (NV),132,132,2015-02-28,2026-01-31,0.007823760686966264,132,0,1.0,0
geo:zori:city:13480,zori_city,Renton (WA),132,132,2015-02-28,2026-01-31,0.008450371620839944,132,0,1.0,0
geo:zori:city:13594,zori_city,Roseville (CA),132,132,2015-02-28,2026-01-31,0.0071383877014573015,132,0,1.0,0
geo:zori:city:13713,zori_city,Santa Clara (CA),132,132,2015-02-28,2026-01-31,0.009495530113068393,132,0,1.0,0
geo:zori:city:13943,zori_city,Sparks (NV),132,132,2015-02-28,2026-01-31,0.008372662114852335,132,0,1.0,0
geo:zori:city:14634,zori_city,Whittier (CA),132,132,2015-02-28,2026-01-31,0.008750847402247346,132,0,1.0,0
geo:zori:city:14667,zori_city,Wilmington (DE),132,132,2015-02-28,2026-01-31,0.007465585663013439,132,0,1.0,0
geo:zori:city:14701,zori_city,Woodbridge (VA),132,132,2015-02-28,2026-01-31,0.006968242053089193,132,0,1.0,0
geo:zori:city:14724,zori_city,Worcester (MA),132,132,2015-02-28,2026-01-31,0.0069218362429447206,132,0,1.0,0
geo:zori:city:16037,zori_city,Seattle (WA),132,132,2015-02-28,2026-01-31,0.009841387487000822,132,0,1.0,0
geo:zori:city:16726,zori_city,Allentown (PA),132,132,2015-02-28,2026-01-31,0.006648210535828193,132,0,1.0,0
geo:zori:city:16764,zori_city,Anaheim (CA),132,132,2015-02-28,2026-01-31,0.005394611553463756,132,0,1.0,0
geo:zori:city:16846,zori_city,Aurora (CO),132,132,2015-02-28,2026-01-31,0.006810924245524323,132,0,1.0,0
geo:zori:city:17008,zori_city,Bethlehem (PA),132,132,2015-02-28,2026-01-31,0.010411039262088502,132,0,1.0,0
geo:zori:city:17222,zori_city,Buffalo (NY),132,132,2015-02-28,2026-01-31,0.006555257823214414,132,0,1.0,0
geo:zori:city:17321,zori_city,Carrollton (TX),132,132,2015-02-28,2026-01-31,0.007935053515099053,132,0,1.0,0
geo:zori:city:17384,zori_city,Chandler (AZ),132,132,2015-02-28,2026-01-31,0.007297131022862754,132,0,1.0,0
geo:zori:city:17426,zori_city,Chicago (IL),132,132,2015-02-28,2026-01-31,0.00747465176249027,132,0,1.0,0
geo:zori:city:17539,zori_city,Columbus (GA),132,132,2015-02-28,2026-01-31,0.006940157723815424,132,0,1.0,0
geo:zori:city:17551,zori_city,Concord (NC),132,132,2015-02-28,2026-01-31,0.007680521639565113,132,0,1.0,0
geo:zori:city:17759,zori_city,Des Moines (IA),132,132,2015-02-28,2026-01-31,0.007689749788224576,132,0,1.0,0
geo:zori:city:17762,zori_city,Detroit (MI),132,132,2015-02-28,2026-01-31,0.005802387097833103,132,0,1.0,0
geo:zori:city:17933,zori_city,El Paso (TX),132,132,2015-02-28,2026-01-31,0.004788174248412272,132,0,1.0,0
geo:zori:city:17943,zori_city,Elgin (IL),132,132,2015-02-28,2026-01-31,0.009268719079741663,132,0,1.0,0
geo:zori:city:17950,zori_city,Elk Grove (CA),132,132,2015-02-28,2026-01-31,0.006964722844376326,132,0,1.0,0
geo:zori:city:18053,zori_city,Fairfield (CA),132,132,2015-02-28,2026-01-31,0.008321047837640745,132,0,1.0,0
geo:zori:city:18170,zori_city,Fort Wayne (IN),132,132,2015-02-28,2026-01-31,0.006382360726226206,132,0,1.0,0
geo:zori:city:18172,zori_city,Fort Worth (TX),132,132,2015-02-28,2026-01-31,0.005326094587048724,132,0,1.0,0
